blueprint,link,submittedAt,title
"98952466-99cd-5bc5-a14d-56faa1c9bced","https://xkcd.com/2916/#xt=9&yt=36&v=527","2024-04-08T05:28:40.920476294Z","Just hangin'"
"578744e3-16d6-574e-a156-83f531092b5b","https://xkcd.com/2916/#xt=7&yt=41&v=595","2024-04-08T18:40:48.780106475Z","Agents of chaos"
"2c1a211a-9228-5ee2-96ec-cd336d38eeb4","https://xkcd.com/2916/#xt=0&yt=22&v=309","2024-04-07T02:48:34.666202736Z","They gave me a line what"
"199e516b-4f16-51b5-9f85-ffc5e6135f25","https://xkcd.com/2916/#xt=0&yt=20&v=302","2024-04-07T03:12:07.828331006Z","Second"
"ad5ec7ee-1eaf-564d-a646-883a3baa6866","https://xkcd.com/2916/#xt=10&yt=66&v=912","2024-04-12T15:10:41.36244701Z","[design Approved by the Squirrel Council. See subsection 45B red-green-ball-sort-design 2BA-LL]"
"82a09a7d-794b-5baf-8157-285f84428d41","https://xkcd.com/2916/#xt=9&yt=30&v=458","2024-04-07T21:44:41.198036747Z","Sorter 2.0"
"422cc652-29c2-500c-b8f3-82777d57a37e","https://xkcd.com/2916/#xt=7&yt=72&v=977","2024-04-15T01:56:58.362247147Z","The Tri-swordter"
"6e247836-a299-5a49-9aa0-90873db51306","https://xkcd.com/2916/#xt=3&yt=31&v=467","2024-04-07T22:28:54.109234858Z","split down the middle"
"c28e0237-410f-5c80-a022-87817e40a0a0","https://xkcd.com/2916/#xt=8&yt=58&v=803","2024-04-11T16:47:52.537477708Z","Bonkey Kong"
"d611cdea-d73e-5431-994f-a92d0eca8ef7","https://xkcd.com/2916/#xt=3&yt=69&v=942","2024-04-12T18:47:33.104406545Z","The EdmuNd Fitzgerald"
"98a58880-c8dc-5cea-a1f5-72747c92abd3","https://xkcd.com/2916/#xt=11&yt=42&v=607","2024-04-08T20:05:38.929766401Z","Catch the lemons"
"57a1968d-6fba-5923-aa94-f94c7743bc2e","https://xkcd.com/2916/#xt=6&yt=6&v=100","2024-04-06T21:09:41.940167532Z","less is more"
"ece5e750-6feb-598e-91a8-c573b88122b6","https://xkcd.com/2916/#xt=5&yt=29&v=440","2024-04-07T20:00:53.799601421Z","Neature"
"011b903e-dcc5-598f-9ed2-5fbdacf16138","https://xkcd.com/2916/#xt=1&yt=1&v=18","2024-04-06T16:56:21.106090847Z","Red-Green"
"19ae4bd8-f8a2-5aca-8f23-32e65a07a60c","https://xkcd.com/2916/#xt=10&yt=86&v=1146","2024-04-24T18:44:19.173730938Z","prism pairs"
"2c1b87ca-9913-5ca9-8005-b526bc3dd321","https://xkcd.com/2916/#xt=7&yt=29&v=432","2024-04-06T22:28:12.061665387Z","the contraption"
"ae587020-112b-5d29-b2ef-7d14eeaa8cfe","https://xkcd.com/2916/#xt=10&yt=46&v=657","2024-04-09T07:29:48.649504814Z","A Game of swords"
"4281317a-7e3e-5d2a-bf84-c1df000770cd","https://xkcd.com/2916/#xt=0&yt=60&v=824","2024-04-11T17:39:02.264690716Z","Coasters"
"82ba5d5e-551d-5de0-9b34-c0abb61c314e","https://xkcd.com/2916/#xt=5&yt=37&v=553","2024-04-08T14:33:16.455462965Z","Party flippers"
"6e348190-41a3-54a7-9368-a6c575e6d36b","https://xkcd.com/2916/#xt=7&yt=14&v=198","2024-04-07T01:02:35.545065231Z","Ughhhh"
"d632b7ae-725f-51c1-81fb-30e4b2bf6dc9","https://xkcd.com/2916/#xt=7&yt=37&v=528","2024-04-06T21:13:15.101782342Z","i DIDN'T HAVE TO DO ANYTHING"
"c299a10a-282c-5c49-bad6-469a7549dbe7","https://xkcd.com/2916/#xt=8&yt=75&v=1031","2024-04-16T09:26:51.772343015Z","Is it some kind of magic?"
"57b04138-c5bf-53c5-9321-9a02ddb0df26","https://xkcd.com/2916/#xt=6&yt=38&v=548","2024-04-08T08:41:53.178392523Z","unearned confidence :3"
"ecf43f8c-0d89-5149-9bb3-855a804bb1c4","https://xkcd.com/2916/#xt=4&yt=60&v=832","2024-04-11T14:01:57.301132526Z","Hide the nuts"
"994bd53d-d6d5-5400-a464-91f3f14205e3","https://xkcd.com/2916/#xt=9&yt=10&v=131","2024-04-06T22:06:14.740246443Z","supporters"
"014fdd8f-a995-5b7f-a80e-2a2d56950246","https://xkcd.com/2916/#xt=11&yt=20&v=326","2024-04-07T04:21:37.111182655Z","raaaaaamps"
"1a04e0c5-b16e-57bf-a6bd-bdc7f56214bb","https://xkcd.com/2916/#xt=4&yt=79&v=1065","2024-04-19T13:45:40.262831325Z","Hungry Hungry Hippos"
"2c2f7b13-60c9-5866-a6bc-88034147d37e","https://xkcd.com/2916/#xt=3&yt=19&v=319","2024-04-07T04:12:58.469152814Z","Lines and launches"
"ae8b0a97-b781-51ec-9b41-68cdaaef0c64","https://xkcd.com/2916/#xt=4&yt=6&v=74","2024-04-06T19:48:47.425818974Z","probably definitely probably"
"82cf2639-46b8-5cf2-825a-543f9aff7170","https://xkcd.com/2916/#xt=6&yt=10&v=143","2024-04-06T17:29:46.672701871Z","Squirrel's Maze"
"6e48c5c2-d481-5930-9dda-3ddc99e9cb32","https://xkcd.com/2916/#xt=6&yt=9&v=146","2024-04-06T22:17:50.629278499Z","Large Hexagon Collider"
"429ae312-e7cb-5a94-b1dd-320e4d1c8faf","https://xkcd.com/2916/#xt=2&yt=46&v=655","2024-04-09T07:30:31.821053702Z","Popcorn Machine"
"01510ac3-1b25-5379-b286-425b804b4a10","https://xkcd.com/2916/#xt=0&yt=25&v=336","2024-04-07T04:39:19.514861682Z","Orbital Mechanic 3: the cat-aclysm"
"ed1078bf-258c-5ea3-ab47-a8693455faf8","https://xkcd.com/2916/#xt=6&yt=44&v=638","2024-04-09T03:31:20.212189354Z","oops! all pillows"
"57f86b9a-8b9f-507f-a077-356374108f7c","https://xkcd.com/2916/#xt=2&yt=86&v=1154","2024-04-24T20:01:14.650575065Z","sorting"
"9970a143-1bd7-5f4e-a0dc-12338e67868f","https://xkcd.com/2916/#xt=7&yt=16&v=232","2024-04-07T02:06:03.025122719Z","how i learned to stop worrying and love the particle oven"
"d68c35ea-4da3-58a2-97fa-599250661b82","https://xkcd.com/2916/#xt=0&yt=19&v=255","2024-04-07T02:36:23.380489826Z","Never trust the squirrels."
"c29e71d8-0d47-5b75-a325-ebb9420125d0","https://xkcd.com/2916/#xt=2&yt=34&v=503","2024-04-08T02:40:31.526772788Z","Elevator Jam"
"1a056253-6c57-5122-8f33-731e01946430","https://xkcd.com/2916/#xt=0&yt=32&v=456","2024-04-07T20:42:28.592344524Z","parallel universes"
"2c90ec99-75cf-58d5-b6d1-db6c0b004434","https://xkcd.com/2916/#xt=1&yt=69&v=944","2024-04-14T10:20:21.250252636Z","the wheel's back"
"ae9d1db5-acac-53e5-8f64-4f5932901da2","https://xkcd.com/2916/#xt=3&yt=9&v=144","2024-04-06T22:21:22.184082003Z","Path of the Fireflies"
"6ebedd17-e22a-59cf-928e-0f766e734c9c","https://xkcd.com/2916/#xt=11&yt=43&v=612","2024-04-06T21:16:54.940396277Z","The Fan physics are nondeterministic"
"82f7d4f1-00d0-5d1e-9ca3-13877fd8aeb6","https://xkcd.com/2916/#xt=4&yt=33&v=489","2024-04-07T23:44:39.139130386Z","the acclaimed Fort Swordforge"
"42a6dddf-ca62-5fb4-8b02-b020d9f96c41","https://xkcd.com/2916/#xt=2&yt=51&v=718","2024-04-09T21:03:22.829236536Z","Bubble SOrt"
"ed198d5c-fcee-59f1-aa70-debf94f336fa","https://xkcd.com/2916/#xt=6&yt=35&v=533","2024-04-08T07:07:47.586070091Z","Speed up, slow down"
"0155355d-941f-58de-a59b-95524d64ef3d","https://xkcd.com/2916/#xt=2&yt=60&v=828","2024-04-07T21:12:52.560294865Z","immediate relief when and where you need it most"
"58442e77-a66f-5d1a-913e-db647a9e8789","https://xkcd.com/2916/#xt=9&yt=70&v=923","2024-04-13T18:06:00.629369828Z","swords of teleportation: behind the scenes"
"1a69e65b-ae4f-5618-aee8-9af9ac9578bd","https://xkcd.com/2916/#xt=11&yt=49&v=683","2024-04-06T18:50:40.449404122Z","not a normal distribution"
"d6a59158-5160-529e-aa97-7f3beb7015af","https://xkcd.com/2916/#xt=11&yt=27&v=427","2024-04-07T19:09:34.514111443Z","Mass Sort"
"99898252-91d2-5a37-9288-405a7a2e01e2","https://xkcd.com/2916/#xt=9&yt=33&v=487","2024-04-08T01:36:13.366575774Z","Many fan make light green work"
"c2c81171-5058-519c-84ea-9058b975bbe0","https://xkcd.com/2916/#xt=10&yt=30&v=447","2024-04-07T18:12:19.729558178Z","The Bun Mechanism"
"6ec041c1-d871-59ef-b874-7fbcb3ef5dc5","https://xkcd.com/2916/#xt=2&yt=2&v=30","2024-04-06T17:44:19.471401347Z","Jamslunt interfoggle"
"83317af8-c1d3-5e7f-9141-8597074ad393","https://xkcd.com/2916/#xt=2&yt=16&v=157","2024-04-06T17:42:23.273379359Z","SUPER PINBALLINATOR 9000"
"42dc5859-4483-5ba5-9777-6ad336dede45","https://xkcd.com/2916/#xt=10&yt=7&v=116","2024-04-06T21:52:11.795568383Z","DEFINITELY NONDETERMINISTIC"
"aed22342-1b5e-5c47-8578-10fc21e82ec0","https://xkcd.com/2916/#xt=4&yt=58&v=807","2024-04-11T09:04:08.050639779Z","In-flight crossing"
"2cb87f8a-d869-55f4-914d-03e886754463","https://xkcd.com/2916/#xt=8&yt=92&v=1224","2024-04-26T04:19:11.022996647Z","board stiff"
"ed3f3c66-49e4-52db-89ab-72bb0c54c721","https://xkcd.com/2916/#xt=9&yt=11&v=185","2024-04-06T23:53:22.161583782Z","absence of god"
"0172b2c5-f598-5b9c-b2cc-91c8e6f4316e","https://xkcd.com/2916/#xt=1&yt=81&v=1084","2024-04-23T01:15:00.143966332Z","dragonslayer"
"5851006a-f498-5252-8cbb-6f74f2115a91","https://xkcd.com/2916/#xt=11&yt=17&v=294","2024-04-06T23:32:27.599603617Z","Bonknoulli principle"
"99ae7080-5760-5f59-9b10-d0babda53bce","https://xkcd.com/2916/#xt=4&yt=10&v=170","2024-04-06T23:10:29.532385654Z","the baseball player"
"c2f8306f-83d1-509c-96ff-d17bf56808fa","https://xkcd.com/2916/#xt=8&yt=25&v=377","2024-04-06T18:59:01.92515539Z","Knife's Edge"
"1a7440bc-5a05-5f22-8779-f0b37a0bf16f","https://xkcd.com/2916/#xt=3&yt=10&v=204","2024-04-06T22:48:32.617038637Z","iffy clouds"
"d6fa7dd1-1da9-5c6c-8453-03b481eb0293","https://xkcd.com/2916/#xt=2&yt=8&v=117","2024-04-06T21:51:50.49548218Z","SQUARE SQUIRREL CONTAINMENT"
